2024-10-22 05:58:39.260 [info] Extension host with pid 3908 started
2024-10-22 05:58:39.298 [info] Lock '/home/kit214/.vscode-server/data/User/workspaceStorage/80807b02bdf3f5aa8b98645520289ee2/vscode.lock': Lock acquired.
2024-10-22 05:58:39.415 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: false, activationEvent: '*', root cause: vscode.git
2024-10-22 05:58:39.510 [info] ExtensionService#_doActivateExtension vscode.git, startup: false, activationEvent: '*'
2024-10-22 05:58:39.510 [info] ExtensionService#_doActivateExtension vscode.github, startup: false, activationEvent: '*'
2024-10-22 05:58:39.911 [info] ExtensionService#_doActivateExtension vscode.npm, startup: true, activationEvent: 'workspaceContains:package.json'
2024-10-22 05:58:40.037 [info] Eager extensions activated
2024-10-22 05:58:40.040 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-10-22 05:58:40.041 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-10-22 05:58:40.041 [info] ExtensionService#_doActivateExtension GitHub.copilot, startup: false, activationEvent: 'onStartupFinished'
2024-10-22 05:58:40.042 [info] ExtensionService#_doActivateExtension GitHub.copilot-chat, startup: false, activationEvent: 'onStartupFinished'
2024-10-22 05:58:42.863 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2024-10-22 05:58:44.831 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:javascript'
2024-10-22 05:58:46.037 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:json'
2024-10-22 05:58:46.038 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2024-10-22 05:58:46.038 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
2024-10-22 05:59:14.730 [info] ExtensionService#_doActivateExtension vscode.php-language-features, startup: false, activationEvent: 'onLanguage:php'
